nohup: ignoring input
Mon Jun  1 00:55:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:38:01.753, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 275.73 W
Mon Jun  1 01:38:31 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:38:31.822, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 235.85 W
Mon Jun  1 01:39:01 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:39:01.876, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 252.57 W
Mon Jun  1 01:39:31 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:39:31.955, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 254.83 W
Mon Jun  1 01:40:01 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:40:01.996, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 279.99 W
Mon Jun  1 01:40:32 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:40:32.055, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 279.01 W
Mon Jun  1 01:41:02 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:41:02.127, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 266.36 W
Mon Jun  1 01:41:32 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:41:32.198, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 262.15 W
Mon Jun  1 01:42:02 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:42:02.279, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 280.35 W
Mon Jun  1 01:42:32 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:42:32.343, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 294.10 W
Mon Jun  1 01:43:02 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:43:02.405, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 267.33 W
Mon Jun  1 01:43:32 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:43:32.468, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 276.27 W
Mon Jun  1 01:44:02 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:44:02.548, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 224.11 W
Mon Jun  1 01:44:32 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:44:32.623, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 262.78 W
Mon Jun  1 01:45:02 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:45:02.677, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 268.48 W
Mon Jun  1 01:45:32 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:45:32.739, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 268.61 W
Mon Jun  1 01:46:02 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:46:02.768, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 256.94 W
Mon Jun  1 01:46:32 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:46:32.902, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 269.10 W
Mon Jun  1 01:47:02 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:47:02.985, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 280.10 W
Mon Jun  1 01:47:33 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:47:33.042, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 279.80 W
Mon Jun  1 01:48:03 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:48:03.108, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 245.10 W
Mon Jun  1 01:48:33 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:48:33.169, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 281.26 W
Mon Jun  1 01:49:03 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:49:03.244, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 240.07 W
Mon Jun  1 01:49:33 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:49:33.315, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 220.26 W
Mon Jun  1 01:50:03 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:50:03.345, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 265.87 W
Mon Jun  1 01:50:33 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:50:33.409, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 248.99 W
Mon Jun  1 01:51:03 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
